season,round,circuit_id,lat,long,country,date,url
1963,4,reims,49.2542,3.93083,France,30/06/1963,http://en.wikipedia.org/wiki/1963_French_Grand_Prix
1963,5,silverstone,52.0786,-1.01694,UK,20/07/1963,http://en.wikipedia.org/wiki/1963_British_Grand_Prix
1963,6,nurburgring,50.3356,6.9475,Germany,04/08/1963,http://en.wikipedia.org/wiki/1963_German_Grand_Prix
1963,7,monza,45.6156,9.28111,Italy,08/09/1963,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix
1963,8,watkins_glen,42.3369,-76.9272,USA,06/10/1963,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix
1963,9,rodriguez,19.4042,-99.0907,Mexico,27/10/1963,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix
1963,10,george,-33.0486,27.8736,South Africa,28/12/1963,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix
1964,1,monaco,43.7347,7.42056,Monaco,10/05/1964,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix
1964,2,zandvoort,52.3888,4.54092,Netherlands,24/05/1964,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix
1964,3,spa,50.4372,5.97139,Belgium,14/06/1964,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix
1964,4,essarts,49.3306,1.00458,France,28/06/1964,http://en.wikipedia.org/wiki/1964_French_Grand_Prix
1964,5,brands_hatch,51.3569,0.263056,UK,11/07/1964,http://en.wikipedia.org/wiki/1964_British_Grand_Prix
1964,6,nurburgring,50.3356,6.9475,Germany,02/08/1964,http://en.wikipedia.org/wiki/1964_German_Grand_Prix
1964,7,zeltweg,47.2039,14.7478,Austria,23/08/1964,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix
1964,8,monza,45.6156,9.28111,Italy,06/09/1964,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix
1964,9,watkins_glen,42.3369,-76.9272,USA,04/10/1964,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix
1964,10,rodriguez,19.4042,-99.0907,Mexico,25/10/1964,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix
1965,1,george,-33.0486,27.8736,South Africa,01/01/1965,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix
1965,2,monaco,43.7347,7.42056,Monaco,30/05/1965,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix
1965,3,spa,50.4372,5.97139,Belgium,13/06/1965,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix
1965,4,charade,45.7472,3.03889,France,27/06/1965,http://en.wikipedia.org/wiki/1965_French_Grand_Prix
1965,5,silverstone,52.0786,-1.01694,UK,10/07/1965,http://en.wikipedia.org/wiki/1965_British_Grand_Prix
